0005085,,,
0005124,0008037,,
0006025,,,
0006118,,,
0007029,0008107,,
0007091,,,
0007094,,,
0007099,,,
0007103,,,
0007114,,,
0007118,0008174,,
0008001,0008037,0008052,
0008003,0008162,,
0008004,0008104,,
0008005,,,
0008006,,,
0008008,0008006,,
0008009,0008104,,
0008010,,,
0008012,0008101,0008072,
0008013,,,
0008014,,,
0008015,0008044,,
0008016,,,
0008017,0008117,,
0008018,,,
0008019,,,
0008020,0008117,,
0008021,,,
0008022,,,
0008024,0008031,,
0008025,,,
0008026,0008096,,
0008027,0008024,0008031,
0008028,0008031,,
0008029,,,
0008030,,,
0008031,,,
0008033,0008006,0008093,
0008034,,,
0008035,0008006,,
0008037,0008052,,
0008038,,,
0008039,0008069,,
0008040,0008047,,
0008042,0008150,,
0008043,0008179,,
0008044,0008070,,
0008045,,,
0008047,0008070,,
0008049,,,
0008050,0008037,0008052,
0008051,0008049,,
0008052,,,
0008053,,,
0008054,,,
7180055,,,
0008056,,,
0008057,0008092,,
0008059,,,
0008060,0008162,0008024,0008031
0008062,,,
0008066,0008189,,
0008068,,,
0008069,0008100,,
0008070,,,
0008071,0008050,,
0008072,,,
0008073,,,
0008074,,,
0008075,,,
0008077,,,
0008078,,,
0008079,,,
0008080,0008052,,
0008081,0008092,,
0008082,0008114,,
0008083,,,
0008084,0008123,,
0008085,,,
0008086,,,
0008087,,,
0008088,0008047,,
0008089,,,
0008092,,,
0008093,0008047,,
0008094,0008162,,
0008096,,,
0008097,0008031,,
0008098,0008097,,
0008100,0008031,,
0008101,0008098,,
0008102,,,
0008103,,,
0008104,,,
0008105,,,
0008106,,,
0008107,0008031,,
0008109,,,
0008114,,,
0008115,,,
0008116,,,
0008117,0008020,,
0008119,0008153,,
0008121,0008114,,
0008122,,,
0008123,0008117,,
0008124,,,
0008125,,,
0008126,,,
0008127,,,
0008129,0008191,0008123,
0008130,0008006,,
0008131,0008138,0008006,
0008133,0008159,0008155,0008191
0008135,0008059,,
0008136,0008047,,
0008138,0008006,,
0008139,,,
0008140,0008072,,
0008141,,,
0008145,,,
0008146,,,
0008148,0008031,,
0008149,0007029,,
0008150,,,
0008151,0008155,,
0008153,,,
0008155,0008191,,
0008157,,,
0008158,,,
0008159,,,
0008160,0008179,,
0008161,0008096,,
0008162,,,
0008164,,,
0008166,,,
0008169,,,
0008174,,,
0008175,,,
0008176,,,
0008177,,,
0008178,,,
0008179,,,
0008180,0008107,,
0008181,0008072,,
0008183,,,
0008184,,,
0008185,,,
0008187,0008114,,
0008188,0008070,,
0008189,0008006,,
0008190,,,
0008191,,,
